Question_ID|Comparison|cosine_distance
6|Human vs Old_AI|0.8908013621045794
7|Human vs Old_AI|0.8107818048996742
8|Human vs Old_AI|0.6374928231376491
13|Human vs Old_AI|0.5245875872606868
15|Human vs Old_AI|0.9171052127338207
26|Human vs Old_AI|0.48514994309912973
38|Human vs Old_AI|0.623731726023735
64|Human vs Old_AI|0.6242541079176847
69|Human vs Old_AI|0.48263781185996646
80|Human vs Old_AI|0.778899679259006
101|Human vs Old_AI|0.9913340704592163
106|Human vs Old_AI|0.7342079698427714
107|Human vs Old_AI|0.8668450743632062
118|Human vs Old_AI|0.7074572884604653
137|Human vs Old_AI|0.6501789434251041
147|Human vs Old_AI|0.8537872604406759
202|Human vs Old_AI|0.9941298384352255
204|Human vs Old_AI|0.7730492213525966
232|Human vs Old_AI|0.7906381466843027
235|Human vs Old_AI|0.776500739861979
237|Human vs Old_AI|0.8716796172894142
268|Human vs Old_AI|0.8162164020759395
282|Human vs Old_AI|0.6343669725974881
285|Human vs Old_AI|0.6863723488175106
286|Human vs Old_AI|0.7529308692769363
293|Human vs Old_AI|0.7923168649922618
294|Human vs Old_AI|0.7746019886237181
319|Human vs Old_AI|0.3963381581048633
350|Human vs Old_AI|0.9830585783052781
358|Human vs Old_AI|0.9382439880981711
375|Human vs Old_AI|0.7168694845585522
388|Human vs Old_AI|0.8724552584212538
389|Human vs Old_AI|0.4572998156494168
403|Human vs Old_AI|0.6329368310644226
426|Human vs Old_AI|0.666253210843226
427|Human vs Old_AI|0.948743630725012
434|Human vs Old_AI|0.666900618880494
435|Human vs Old_AI|0.845677927062771
443|Human vs Old_AI|0.9929830294159401
482|Human vs Old_AI|0.4632884109241102
512|Human vs Old_AI|0.8503872063330467
550|Human vs Old_AI|0.9152584274188585
552|Human vs Old_AI|0.7915878832243581
554|Human vs Old_AI|0.8620837227877282
557|Human vs Old_AI|1.0
567|Human vs Old_AI|0.9671640088532426
591|Human vs Old_AI|0.882171147074989
594|Human vs Old_AI|0.46483994989439803
604|Human vs Old_AI|1.0
627|Human vs Old_AI|0.8205007657172128
632|Human vs Old_AI|0.6094710247608544
643|Human vs Old_AI|0.48908307240894544
655|Human vs Old_AI|0.9375672134169466
663|Human vs Old_AI|0.6949328127878442
667|Human vs Old_AI|0.9636327271727879
691|Human vs Old_AI|0.6653832613518068
784|Human vs Old_AI|0.33907847960385085
800|Human vs Old_AI|0.879539834956889
802|Human vs Old_AI|0.5626449197804525
817|Human vs Old_AI|0.5990379363812659
820|Human vs Old_AI|0.4461678412129053
828|Human vs Old_AI|0.6184235791839744
839|Human vs Old_AI|0.9245282502104925
847|Human vs Old_AI|0.7047069251292313
854|Human vs Old_AI|0.6519144026642179
855|Human vs Old_AI|0.7151028390184246
864|Human vs Old_AI|0.49771633801083925
884|Human vs Old_AI|0.6052675772492871
906|Human vs Old_AI|0.2978587831323537
